Nazwa PPK,Aktualna wartość,Data notowania
	Nationale-Nederlanden DFE Nasze Jutro 2025,11.90,05.06.2024
	Nationale-Nederlanden DFE Nasze Jutro 2030,14.04,05.06.2024
	Nationale-Nederlanden DFE Nasze Jutro 2035,15.17,05.06.2024
	Nationale-Nederlanden DFE Nasze Jutro 2040,16.16,05.06.2024
	Nationale-Nederlanden DFE Nasze Jutro 2045,17.10,05.06.2024
	Nationale-Nederlanden DFE Nasze Jutro 2050,17.59,05.06.2024
	Nationale-Nederlanden DFE Nasze Jutro 2055,17.73,05.06.2024
	Nationale-Nederlanden DFE Nasze Jutro 2060,17.41,05.06.2024
Allianz Plan Emerytalny 2025 (Allianz Plan Emerytalny SFIO),127.37,05.06.2024
Allianz Plan Emerytalny 2030 (Allianz Plan Emerytalny SFIO),135.69,05.06.2024
Allianz Plan Emerytalny 2035 (Allianz Plan Emerytalny SFIO),149.51,05.06.2024
Allianz Plan Emerytalny 2040 (Allianz Plan Emerytalny SFIO),150.04,05.06.2024
Allianz Plan Emerytalny 2045 (Allianz Plan Emerytalny SFIO),153.01,05.06.2024
Allianz Plan Emerytalny 2050 (Allianz Plan Emerytalny SFIO),152.71,05.06.2024
Allianz Plan Emerytalny 2055 (Allianz Plan Emerytalny SFIO),151.56,05.06.2024
Allianz Plan Emerytalny 2060 (Allianz Plan Emerytalny SFIO),149.13,05.06.2024
Allianz Plan Emerytalny 2065 (Allianz Plan Emerytalny SFIO),137.62,05.06.2024
Allianz PPK 2025 (Allianz SFIO PPK)(d. Aviva),12.29,05.06.2024
Allianz PPK 2030 (Allianz SFIO PPK)(d. Aviva),13.04,05.06.2024
Allianz PPK 2035 (Allianz SFIO PPK)(d. Aviva),14.56,05.06.2024
Allianz PPK 2040 (Allianz SFIO PPK)(d. Aviva),14.42,05.06.2024
Allianz PPK 2045 (Allianz SFIO PPK)(d. Aviva),14.98,05.06.2024
Allianz PPK 2050 (Allianz SFIO PPK)(d. Aviva),15.18,05.06.2024
Allianz PPK 2055 (Allianz SFIO PPK)(d. Aviva),15.37,05.06.2024
Allianz PPK 2060 (Allianz SFIO PPK)(d. Aviva),15.50,05.06.2024
